Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Comoros,0,0,0,0,0,0,27352,536411,686030,186710,176468,0,25060,0,276384
Congo,12210,14046,808797,1093843,1379768,1082368,2152034,2076680,1330084,3119928,3486277,3088414,454577,3169117,2183656
Congo the Democratic Republic of the,61637,0,602025,2288163,3093785,5713680,11644341,7496445,5505698,12107900,9851409,8927864,6731693,8857898,12306468
Cook Islands,46134734,53951515,54960334,65714520,73760586,78106051,83271929,90352630,85461606,97901913,91451830,100750187,98932693,96771477,102259117
Costa Rica,989882,1823768,5816849,3204702,1967350,1593108,2149336,3282372,3051481,3588133,2551983,2132298,5106882,5058655,3297064
Cote d'Ivoire,411565,1409139,2291422,2570496,4037542,5151554,5297383,3093165,6227954,10237090,14458087,10698408,9063157,3956005,8968700
Croatia,216457,2447434,1002463,2459751,5151822,5406017,6572463,7834570,6132049,4731012,3265241,4640918,7805465,4174922,2426406
Cuba,17842985,108857926,65276927,67934119,80898342,58907868,72719280,114652936,124573065,5032806,53235459,73819991,22305675,63147468,69053684
Curacao,0,0,0,0,0,0,0,0,0,0,0,0,0,1433,1182009
Cyprus,8181981,10848703,13063086,11965206,15818683,17051055,15811975,18716644,27808102,24655676,19810550,19358775,18235682,11419698,13252738
Czech Republic,2903702,3204721,5612657,11397081,3078095,1900341,10091386,11135919,12745027,8433877,7167754,8092445,7488330,11074161,8271227
Denmark,74527415,98502884,86798437,151396362,218025260,178534491,146228248,188659435,204331144,139019085,233617329,229886478,76064220,81756215,121640109
Destination Unknown - EU,300182390,309787700,262368615,211390937,371294554,231113665,249747030,247631426,348151379,350349295,257365031,270900107,227196033,219547624,251925887
Djibouti,420413,741090,8723,24746,84133,560412,1535279,2464138,2773175,2722838,2749452,2853573,4664541,3241645,1772114
Dominica,1912,1115153,200965,2774,0,47040,122331,1245,35356,78032,148032,74321,148369,69531,68954
Dominican Republic,27366143,43697784,30005157,21414363,20748710,13633829,21417073,32236604,24505130,19405784,23895701,20784973,11109518,11184588,14412511
East Timor,2700465,1838480,426346,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,2359378,4936772,4591341,4666177,3252032,2111048,3187336,2865414,4826158,1849539,2932320,4083012,4388141,4360931,5735111
Egypt,133829592,165987110,144789316,115300121,92429721,115846164,160240554,175612253,198778620,248679281,239858565,312635699,375071603,357169342,490349656
El Salvador,82347784,102001135,47766512,36709889,26597478,31882239,21109678,18022229,5692861,5175597,5203931,4563647,6066236,5121911,5361582
Equatorial Guinea,0,1423,0,67150,399351,27335,194919,3771,44566,218754,685486,463229,2548871,3543498,2151652
Eritrea,31863,5756,697536,227232,1341987,27644,40353,30146,26478,70373,165969,13338,98908,167776,0
Estonia,206783,14943438,3309480,9075297,1926482,2416249,3009840,1933811,3295227,1257080,2688973,2323357,4504191,3274000,2682243
Ethiopia,26348,400140,318879,47213,90295,3673109,794494,125718,469964,391768,360291,618608,465952,238585,2659123
Faeroe Islands,994667,1527251,1725229,1539990,1873326,2268002,2582150,3130745,4389570,3416421,3671097,4041611,4442008,4266305,4289050
Falkland Islands,1060587,428070,313180,461743,557427,271881,242668,395136,272571,559341,250825,269143,326773,238347,266606
Federated States of Micronesia,803080,1560397,1612615,2135580,2211503,2543067,1744927,1100010,1229133,1635519,2697824,935080,990045,1530014,1219760
Fiji,212974982,248339505,286334942,268993390,341383363,352764240,371206145,340141885,363284135,306397579,312435136,343077716,357963486,403422494,368357396
Finland,13486013,21162456,15868278,15846541,18952737,20957746,25301895,28917284,28463677,18164192,30754655,36029015,27721047,21878224,24083928
Former Yugoslav Republic of Macedonia (FYROM),0,66161,242507,119580,109871,32784,19790,235871,600974,186815,744216,555918,141927,20677,13679
France,394522623,367278121,384076786,372609521,372861958,386968220,386949432,405855568,502343637,507594326,457006408,425803707,371219646,334655198,373285857
