,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
St Vincent and the Grenadines,102431,1170208,591334,450716,747964,894263,1079541,935404,1512253,1528445,1630580,406111
Sudan,956631,3651133,2341165,2215123,4957833,9740699,17975750,36971934,39290740,83518807,114458603,17746326
Suriname,607059,84656,25208,94266,47850,510447,544598,119732,748160,374560,373692,1476
Swaziland,2055,24376,136930,12555,791776,1211,1463,7360,2962,35200,0,15000
Sweden,46466547,52560957,44556844,49433934,53424982,55692764,70533484,72967474,73388414,73799119,69400605,20920339
Switzerland,79603004,82046013,70050498,85218524,84802831,92367891,94667451,96887060,89403487,88729006,87507922,19541876
Syria,6831632,8207994,10679736,8970990,15936942,25545742,55376294,83609916,111812490,53976158,78966547,19224994
Taiwan,701875854,710878688,680245995,625660970,703742914,773389977,767888226,772405139,751611273,755598026,843078536,243466394
Tajikistan,0,0,0,0,146684,349333,1122948,2329504,6410956,2638357,3769238,2101923
Tanzania,1925676,1781735,2233355,2231635,3717203,2565275,5067737,4990874,5558622,3976923,5749623,1181363
Thailand,336754524,412032736,353273920,332951859,364632435,338079798,437822006,566612946,825584482,453420941,679037298,201476221
Timor-Leste (from July 2002),0,0,49430,113279,15715,60997,374513,188824,339234,326360,456558,48995
Togo,4487,0,44000,514303,98037,679071,743565,507175,1746997,613670,1237882,379666
Tokelau,0,0,0,0,0,0,0,0,72415,103202,153332,0
Tonga,44552998,55504332,58349074,68302755,59196949,55032008,56275975,54222000,49697599,53585249,58393719,12525094
Trinidad and Tobago,15120294,24556035,22336653,20862773,22628649,34323748,32476627,43898005,58170628,45836527,53828620,17187324
Tunisia,8641333,8880731,7364541,4616776,2733000,4635599,7484792,10159507,11218005,7696974,5681283,116660
Turkey,38875188,38660702,41650330,29791615,30698697,41078572,50438940,53572151,61710080,54628313,66920518,20034364
Turkmenistan,6923304,124416,175776,143424,0,0,0,0,331782,296541,1248385,454301
Turks and Caicos Islands,7301,4588,20678,7960,30063,65719,136616,188401,121616,125000,185583,7278
Tuvalu,1440318,3203555,2415852,2394702,2346470,2014906,2792632,2838994,6035550,2693037,2406448,409104
Uganda,45586,1237587,798798,676518,267879,98226,238977,225518,426982,1542415,190685,55138
Ukraine,783688,767240,2029114,615574,1683840,3330029,7692205,14359874,22875014,10074943,17679972,2621031
Union of Soviet Socialist Republics,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,174350363,166582524,137178091,95812386,136115944,160234836,222383522,239954342,325702563,385243402,415617967,145596306
United Kingdom,1522724414,1558236043,1494681956,1363071566,1456367170,1431540944,1693948314,1640334742,1672020479,1696393056,1527938093,433235895
United States Minor Outlying Islands,0,0,0,0,0,0,0,0,0,269953,0,0
United States of America,4241743568,4850620663,4760572749,4118810335,4435835933,4372552533,4540425195,4211346431,4382024587,3953369875,3759346055,1025872583
Uruguay,14439047,7371443,6237011,7729749,7205055,4345396,5090485,9526459,13608105,7525424,8950226,4148386
Uzbekistan,4612,257294,375981,553804,13866,9434,3989111,4233824,5672396,8012632,5080967,2433479
Vanuatu,17275360,25279552,26346706,20145145,22934214,24974989,33116760,42883031,41715405,45360118,43517729,8927274
Vatican City State,0,0,0,0,0,4506,0,2507,602523,44435,217556,0
Venezuela,136814102,266476826,94892270,129165162,115598714,123538348,177663653,359498690,653797820,362122707,463424867,73753154
Viet Nam,169010629,371155272,129064296,158311956,138934349,152770830,247514450,362372294,282749056,314603105,419920625,111434003
Virgin Islands; British,7464,403780,12063167,151346,26189,11127,35793,21827843,87017567,36643,48061178,22082
Virgin Islands; United States,554163,26459,6350,126158,51328,87578,185549,6202,746997,35364,27830,65994
Wales,0,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna,5972557,6183104,6836151,6657655,6867616,4749829,5240231,5760768,11297656,5472003,11210599,1325437
Western Sahara,0,0,0,0,0,0,8766,1619,0,0,0,0
Yemen,16326263,19131557,22351464,15349791,28125911,18366694,28841944,42420884,22923938,47770886,54333010,6326405
Yemen; Democratic,0,0,0,0,0,0,0,0,0,0,0,0
Yugoslavia (to 08.2003); Serbia and Montenegro (from 09.2003 to 05 2007),402821,1192556,185414,163312,350006,267187,805365,354277,0,0,0,0
Zaire,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,34817,169589,263947,265978,277645,1895879,677848,1248247,1270375,608121,1251288,242502
Zimbabwe,958040,950959,911339,602581,282271,2206308,234672,314025,92546,468363,2023060,1032657
